lang,method,status,accuracy,correct,max_samples,total_time_sec,time_per_sample_sec,log_path
bn,baseline,ok,1.0,2,2,71.881,35.9405,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/baseline_bn.log
de,baseline,exit_1,,,,,,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/baseline_de.log
en,baseline,ok,1.0,2,2,48.003,24.0015,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/baseline_en.log
es,baseline,ok,1.0,2,2,53.1883,26.5942,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/baseline_es.log
fr,baseline,ok,1.0,2,2,39.4846,19.7423,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/baseline_fr.log
ja,baseline,ok,1.0,2,2,55.5061,27.753,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/baseline_ja.log
ru,baseline,ok,1.0,2,2,49.2937,24.6468,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/baseline_ru.log
sw,baseline,ok,0.0,0,2,97.7098,48.8549,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/baseline_sw.log
te,baseline,ok,0.5,1,2,117.2318,58.6159,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/baseline_te.log
th,baseline,ok,1.0,2,2,57.4767,28.7384,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/baseline_th.log
zh,baseline,ok,1.0,2,2,61.6623,30.8312,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/baseline_zh.log
bn,text_mas,ok,0.5,1,2,210.6201,105.3101,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/text_mas_bn.log
de,text_mas,ok,1.0,2,2,201.7771,100.8885,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/text_mas_de.log
en,text_mas,ok,1.0,2,2,172.3544,86.1772,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/text_mas_en.log
es,text_mas,ok,1.0,2,2,169.2905,84.6452,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/text_mas_es.log
fr,text_mas,ok,1.0,2,2,281.1342,140.5671,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/text_mas_fr.log
ja,text_mas,ok,1.0,2,2,167.3724,83.6862,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/text_mas_ja.log
ru,text_mas,ok,1.0,2,2,177.4643,88.7322,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/text_mas_ru.log
sw,text_mas,ok,0.0,0,2,294.3555,147.1777,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/text_mas_sw.log
te,text_mas,ok,0.5,1,2,248.0347,124.0173,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/text_mas_te.log
th,text_mas,ok,1.0,2,2,162.9456,81.4728,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/text_mas_th.log
zh,text_mas,ok,1.0,2,2,188.4942,94.2471,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/text_mas_zh.log
bn,latent_mas,ok,1.0,2,2,37.7049,18.8525,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/latent_mas_bn.log
de,latent_mas,ok,1.0,2,2,40.92,20.46,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/latent_mas_de.log
en,latent_mas,ok,1.0,2,2,29.5215,14.7608,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/latent_mas_en.log
es,latent_mas,ok,1.0,2,2,51.9639,25.982,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/latent_mas_es.log
fr,latent_mas,ok,1.0,2,2,29.7412,14.8706,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/latent_mas_fr.log
ja,latent_mas,ok,1.0,2,2,32.7438,16.3719,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/latent_mas_ja.log
ru,latent_mas,ok,1.0,2,2,40.6207,20.3104,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/latent_mas_ru.log
sw,latent_mas,ok,0.0,0,2,120.6475,60.3238,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/latent_mas_sw.log
te,latent_mas,ok,0.5,1,2,87.4811,43.7406,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/latent_mas_te.log
th,latent_mas,ok,1.0,2,2,42.0203,21.0101,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/latent_mas_th.log
zh,latent_mas,ok,1.0,2,2,34.6576,17.3288,results/mgsm_plain_original_compare/Qwen_Qwen3-4B/mgsm_first2_plain_original_compare/latent_mas_zh.log
