idx,mean_delta,net_delta,comparisons
24,0.13333333333333333,4.0,30
49,0.1,3.0,30
40,0.1,3.0,30
38,0.1,3.0,30
20,0.1,3.0,30
19,0.1,3.0,30
8,0.1,3.0,30
27,0.1,3.0,30
1,0.06666666666666667,2.0,30
9,0.06666666666666667,2.0,30
18,0.06666666666666667,2.0,30
33,0.06666666666666667,2.0,30
29,0.06666666666666667,2.0,30
15,0.03333333333333333,1.0,30
22,0.03333333333333333,1.0,30
23,0.03333333333333333,1.0,30
30,0.03333333333333333,1.0,30
6,0.03333333333333333,1.0,30
43,0.03333333333333333,1.0,30
31,0.0,0.0,30
34,0.0,0.0,30
36,0.0,0.0,30
45,0.0,0.0,30
32,0.0,0.0,30
0,0.0,0.0,31
7,0.0,0.0,30
14,0.0,0.0,30
12,0.0,0.0,30
21,-0.03333333333333333,-1.0,30
47,-0.03333333333333333,-1.0,30
2,-0.03333333333333333,-1.0,30
44,-0.03333333333333333,-1.0,30
42,-0.03333333333333333,-1.0,30
41,-0.03333333333333333,-1.0,30
4,-0.03333333333333333,-1.0,30
26,-0.03333333333333333,-1.0,30
25,-0.03333333333333333,-1.0,30
35,-0.03333333333333333,-1.0,30
10,-0.03333333333333333,-1.0,30
11,-0.03333333333333333,-1.0,30
17,-0.03333333333333333,-1.0,30
3,-0.06666666666666667,-2.0,30
16,-0.1,-3.0,30
48,-0.1,-3.0,30
13,-0.16666666666666666,-5.0,30
28,-0.16666666666666666,-5.0,30
37,-0.16666666666666666,-5.0,30
39,-0.23333333333333334,-7.0,30
46,-0.26666666666666666,-8.0,30
5,-0.3,-9.0,30
