run,strength,status,lang,accuracy,correct,total,baseline_accuracy,delta_accuracy
mgsm_first50_latent_mas_baseline,0.0,final,bn,0.5,25.0,50,0.5,0.0
mgsm_first50_latent_mas_baseline,0.0,final,de,0.84,42.0,50,0.84,0.0
mgsm_first50_latent_mas_baseline,0.0,final,en,0.96,48.0,50,0.96,0.0
mgsm_first50_latent_mas_baseline,0.0,final,es,0.9,45.0,50,0.9,0.0
mgsm_first50_latent_mas_baseline,0.0,final,fr,0.42,21.0,50,0.42,0.0
mgsm_first50_latent_mas_baseline,0.0,final,ja,0.72,36.0,50,0.72,0.0
mgsm_first50_latent_mas_baseline,0.0,final,ru,0.78,39.0,50,0.78,0.0
mgsm_first50_latent_mas_baseline,0.0,final,sw,0.2,10.0,50,0.2,0.0
mgsm_first50_latent_mas_baseline,0.0,final,te,0.1,5.0,50,0.1,0.0
mgsm_first50_latent_mas_baseline,0.0,final,th,0.72,36.0,50,0.72,0.0
mgsm_first50_latent_mas_baseline,0.0,final,zh,0.78,39.0,50,0.78,0.0
mgsm_first50_latent_mas_lr_disentangle_s0.025,0.025,final,bn,0.42,21.0,50,0.5,-0.08000000000000002
mgsm_first50_latent_mas_lr_disentangle_s0.025,0.025,final,de,0.9,45.0,50,0.84,0.06000000000000005
mgsm_first50_latent_mas_lr_disentangle_s0.025,0.025,final,en,0.92,46.0,50,0.96,-0.039999999999999925
mgsm_first50_latent_mas_lr_disentangle_s0.025,0.025,final,es,0.86,43.0,50,0.9,-0.040000000000000036
mgsm_first50_latent_mas_lr_disentangle_s0.025,0.025,final,fr,0.36,18.0,50,0.42,-0.06
mgsm_first50_latent_mas_lr_disentangle_s0.025,0.025,final,ja,0.72,36.0,50,0.72,0.0
mgsm_first50_latent_mas_lr_disentangle_s0.025,0.025,final,ru,0.76,38.0,50,0.78,-0.020000000000000018
mgsm_first50_latent_mas_lr_disentangle_s0.025,0.025,final,sw,0.16,8.0,50,0.2,-0.04000000000000001
mgsm_first50_latent_mas_lr_disentangle_s0.025,0.025,final,te,0.22,11.0,50,0.1,0.12
mgsm_first50_latent_mas_lr_disentangle_s0.025,0.025,final,th,0.68,34.0,50,0.72,-0.039999999999999925
mgsm_first50_latent_mas_lr_disentangle_s0.025,0.025,final,zh,0.74,37.0,50,0.78,-0.040000000000000036
mgsm_first50_latent_mas_lr_disentangle_s0.05,0.05,final,bn,0.46,23.0,50,0.5,-0.03999999999999998
mgsm_first50_latent_mas_lr_disentangle_s0.05,0.05,final,de,0.9,45.0,50,0.84,0.06000000000000005
mgsm_first50_latent_mas_lr_disentangle_s0.05,0.05,final,en,0.92,46.0,50,0.96,-0.039999999999999925
mgsm_first50_latent_mas_lr_disentangle_s0.05,0.05,final,es,0.92,46.0,50,0.9,0.020000000000000018
mgsm_first50_latent_mas_lr_disentangle_s0.05,0.05,final,fr,0.44,22.0,50,0.42,0.020000000000000018
mgsm_first50_latent_mas_lr_disentangle_s0.05,0.05,final,ja,0.7,35.0,50,0.72,-0.020000000000000018
mgsm_first50_latent_mas_lr_disentangle_s0.05,0.05,final,ru,0.8,40.0,50,0.78,0.020000000000000018
mgsm_first50_latent_mas_lr_disentangle_s0.05,0.05,final,sw,0.14,7.0,50,0.2,-0.06
mgsm_first50_latent_mas_lr_disentangle_s0.05,0.05,final,te,0.18,9.0,50,0.1,0.07999999999999999
mgsm_first50_latent_mas_lr_disentangle_s0.05,0.05,final,th,0.68,34.0,50,0.72,-0.039999999999999925
mgsm_first50_latent_mas_lr_disentangle_s0.05,0.05,final,zh,0.76,38.0,50,0.78,-0.020000000000000018
mgsm_first50_latent_mas_lr_disentangle_s0.1,0.1,partial,bn,0.48,24.0,50,0.5,-0.020000000000000018
mgsm_first50_latent_mas_lr_disentangle_s0.1,0.1,partial,de,0.86,43.0,50,0.84,0.020000000000000018
mgsm_first50_latent_mas_lr_disentangle_s0.1,0.1,partial,en,0.92,46.0,50,0.96,-0.039999999999999925
mgsm_first50_latent_mas_lr_disentangle_s0.1,0.1,partial,es,0.84,42.0,50,0.9,-0.06000000000000005
mgsm_first50_latent_mas_lr_disentangle_s0.1,0.1,partial,fr,0.4,20.0,50,0.42,-0.019999999999999962
mgsm_first50_latent_mas_lr_disentangle_s0.1,0.1,partial,ja,0.64,32.0,50,0.72,-0.07999999999999996
mgsm_first50_latent_mas_lr_disentangle_s0.1,0.1,partial,ru,0.78,39.0,50,0.78,0.0
mgsm_first50_latent_mas_lr_disentangle_s0.1,0.1,partial,sw,0.22,11.0,50,0.2,0.01999999999999999
mgsm_first50_latent_mas_lr_disentangle_s0.1,0.1,partial,te,0.0,0.0,1,0.1,-0.1
