lang,accuracy,correct,total,latent_reasoning_score,planner_latent_reasoning_score,critic_latent_reasoning_score,refiner_latent_reasoning_score,judger_latent_reasoning_score,cosine_to_bn,cosine_to_de,cosine_to_en,cosine_to_es,cosine_to_fr,cosine_to_ja,cosine_to_ru,cosine_to_sw,cosine_to_te,cosine_to_th,cosine_to_zh
bn,0.476,119,250,0.31775,0.28,0.023,0.0,0.968,1.0,0.7588733541965484,0.7214649749398232,0.7532866114974022,0.7563576480150223,0.7693868272900581,0.8017755784392356,0.7383295261859893,0.8285142754912377,0.8538570901453495,0.7264257255196571
de,0.812,203,250,0.46225,0.487,0.322,0.288,0.752,0.7588733541965484,1.0,0.8243157783150673,0.8592045546770096,0.8715353520512581,0.7770702909827233,0.7528482324481011,0.7779256775081158,0.788266231417656,0.7361689696907997,0.7714027852714062
en,0.908,227,250,0.3895,0.5,0.5,0.286,0.272,0.7214649749398232,0.8243157783150673,1.0,0.8125594082474709,0.8159582944512367,0.7419107986688613,0.7354645702838898,0.7354536112546921,0.7416259522140026,0.7257149046361446,0.7642273996472358
es,0.82,205,250,0.4645,0.431,0.218,0.233,0.976,0.7532866114974022,0.8592045546770096,0.8125594082474709,1.0,0.8890987569093705,0.7778315919041634,0.7572209119200707,0.7849757060706616,0.7833509172201156,0.7375016344487667,0.7839730601012707
fr,0.44,110,250,0.47625,0.448,0.32,0.361,0.776,0.7563576480150223,0.8715353520512581,0.8159582944512367,0.8890987569093705,1.0,0.7901320897340774,0.7488031972646714,0.7916572002470493,0.7931746295690536,0.7386466237902641,0.773873486161232
ja,0.748,187,250,0.537,0.5,0.463,0.305,0.88,0.7693868272900581,0.7770702909827233,0.7419107986688613,0.7778315919041634,0.7901320897340774,1.0,0.699610879123211,0.7220643061101437,0.7721657682061195,0.7599216118454933,0.7651500766873359
ru,0.772,193,250,0.305,0.487,0.219,0.046,0.468,0.8017755784392356,0.7528482324481011,0.7354645702838898,0.7572209119200707,0.7488031972646714,0.699610879123211,1.0,0.7108918318450451,0.745037307202816,0.795517862200737,0.7308074017763138
sw,0.196,49,250,0.5165000000000001,0.465,0.367,0.302,0.932,0.7383295261859893,0.7779256775081158,0.7354536112546921,0.7849757060706616,0.7916572002470493,0.7220643061101437,0.7108918318450451,1.0,0.7659336094856262,0.7173868837654591,0.7029355084002018
te,0.152,38,250,0.382,0.433,0.045,0.05,1.0,0.8285142754912377,0.788266231417656,0.7416259522140026,0.7833509172201156,0.7931746295690536,0.7721657682061195,0.745037307202816,0.7659336094856262,1.0,0.7571989647746086,0.7354361440837384
th,0.7,175,250,0.3675,0.275,0.205,0.114,0.876,0.8538570901453495,0.7361689696907997,0.7257149046361446,0.7375016344487667,0.7386466237902641,0.7599216118454933,0.795517862200737,0.7173868837654591,0.7571989647746086,1.0,0.7204517697691918
zh,0.812,203,250,0.44425000000000003,0.504,0.226,0.203,0.844,0.7264257255196571,0.7714027852714062,0.7642273996472358,0.7839730601012707,0.773873486161232,0.7651500766873359,0.7308074017763138,0.7029355084002018,0.7354361440837384,0.7204517697691918,1.0
