lang,accuracy,correct,total,latent_reasoning_score,planner_latent_reasoning_score,critic_latent_reasoning_score,refiner_latent_reasoning_score,judger_latent_reasoning_score,cosine_to_en,mean_cosine_to_other
en,0.908,227,250,0.3895,0.5,0.5,0.286,0.272,1.0,0.7618695692658425
es,0.82,205,250,0.4645,0.431,0.218,0.233,0.976,0.8125594082474709,0.7939003152996301
de,0.812,203,250,0.46225,0.487,0.322,0.288,0.752,0.8243157783150673,0.7917611226558686
zh,0.812,203,250,0.44425,0.504,0.226,0.203,0.844,0.7642273996472358,0.7474683357417584
ru,0.772,193,250,0.305,0.487,0.219,0.046,0.468,0.7354645702838898,0.7477977772504091
ja,0.748,187,250,0.537,0.5,0.463,0.305,0.88,0.7419107986688613,0.7575244240552188
th,0.7,175,250,0.3675,0.275,0.205,0.114,0.876,0.7257149046361446,0.7542366315066815
bn,0.476,119,250,0.31775,0.28,0.023,0.0,0.968,0.7214649749398232,0.7708271611720324
fr,0.44,110,250,0.47625,0.448,0.32,0.361,0.776,0.8159582944512367,0.7969237278193235
sw,0.196,49,250,0.5165000000000001,0.465,0.367,0.302,0.932,0.7354536112546921,0.7447553860872984
te,0.152,38,250,0.382,0.433,0.045,0.05,1.0,0.7416259522140026,0.7710703799664975
