stage,rank_threshold,score,example_pearson,example_spearman,language_pearson,language_spearman,score_mean_correct,score_mean_wrong,accuracy_aligned,language_abs_pearson,example_abs_pearson
shared_after_planner,250,latent_reasoning_score,0.1298523315107938,0.131535527880876,0.4497940247071043,0.4601378680539873,0.3033937975424224,0.2459173871277617,True,0.4497940247071043,0.1298523315107938
shared_after_planner,5,latent_reasoning_score,0.0152446827414587,0.0202459535816734,0.4401135015430506,0.5703934342567073,0.0019016968987712,0.0012007684918347,True,0.4401135015430506,0.0152446827414587
shared_after_planner,25,latent_reasoning_score,0.0879001866584307,0.0779087716728817,0.420368138686379,0.346242356159436,0.0560269163253364,0.0321805955811719,True,0.420368138686379,0.0879001866584307
shared_after_critic,5,latent_reasoning_score,0.0248797609358253,0.0350582390417107,0.4053582463575648,0.4908308521319141,0.005558806319485,0.0030019212295869,True,0.4053582463575648,0.0248797609358253
shared_after_critic,250,latent_reasoning_score,0.1137701622662768,0.1318507835043242,0.4041967210394834,0.4236913042477309,0.5179929783499122,0.4417627281460135,True,0.4041967210394834,0.1137701622662768
shared_after_refiner,250,latent_reasoning_score,0.1088701507834129,0.1321101904184841,0.3854258154230611,0.3644656380625641,0.5968402574605032,0.515930195325008,True,0.3854258154230611,0.1088701507834129
shared_after_refiner,5,latent_reasoning_score,0.0321361206189936,0.0378941956505435,0.3825675106127848,0.5616438356164384,0.0093622001170275,0.004883125200128,True,0.3825675106127848,0.0321361206189936
shared_after_critic,25,latent_reasoning_score,0.078285527841778,0.0655054973219982,0.3769783081238038,0.3127853881278539,0.104959040374488,0.0680835734870317,True,0.3769783081238038,0.078285527841778
shared_with_judger,250,latent_reasoning_score,0.1041172342588097,0.1214384954159996,0.3741993720462052,0.4100238428203847,0.6187604086960435,0.5441513337766939,True,0.3741993720462052,0.1041172342588097
shared_after_planner,10,latent_reasoning_score,0.0310218731776166,0.0296787866188311,0.3605311576996621,0.1780821917808219,0.0119953188999414,0.0079250720461095,True,0.3605311576996621,0.0310218731776166
