stage,rank_threshold,lang,accuracy,total,shared_lrs,shared_emergence_rate,mean_best_rank,mean_final_rank,mean_best_rank_score,mean_final_rank_score,mean_best_logprob,mean_final_logprob,corr_problem_shared_lrs_with_correct
shared_after_planner,1,bn,0.476,250,0.0,0.0,713.86,1070.224,0.14154025470360548,0.139603270962465,-10.45203875541687,-10.835461809158325,nan
shared_after_planner,5,bn,0.476,250,0.0,0.0,713.86,1070.224,0.14154025470360548,0.139603270962465,-10.45203875541687,-10.835461809158325,nan
shared_after_planner,10,bn,0.476,250,0.0,0.0,713.86,1070.224,0.14154025470360548,0.139603270962465,-10.45203875541687,-10.835461809158325,nan
shared_after_planner,25,bn,0.476,250,0.0,0.0,713.86,1070.224,0.14154025470360548,0.139603270962465,-10.45203875541687,-10.835461809158325,nan
shared_after_planner,50,bn,0.476,250,0.0,0.0,713.86,1070.224,0.14154025470360548,0.139603270962465,-10.45203875541687,-10.835461809158325,nan
shared_after_planner,100,bn,0.476,250,0.026,0.08,713.86,1070.224,0.14154025470360548,0.139603270962465,-10.45203875541687,-10.835461809158325,-0.11459281562592408
shared_after_planner,250,bn,0.476,250,0.074,0.212,713.86,1070.224,0.14154025470360548,0.139603270962465,-10.45203875541687,-10.835461809158325,-0.08125402413300438
shared_after_planner,500,bn,0.476,250,0.143,0.456,713.86,1070.224,0.14154025470360548,0.139603270962465,-10.45203875541687,-10.835461809158325,-0.035585315176071323
shared_after_planner,1000,bn,0.476,250,0.28,0.792,713.86,1070.224,0.14154025470360548,0.139603270962465,-10.45203875541687,-10.835461809158325,-0.014194890599801257
shared_after_planner,2500,bn,0.476,250,0.457,0.976,713.86,1070.224,0.14154025470360548,0.139603270962465,-10.45203875541687,-10.835461809158325,0.06365290683531881
shared_after_planner,5000,bn,0.476,250,0.491,0.996,713.86,1070.224,0.14154025470360548,0.139603270962465,-10.45203875541687,-10.835461809158325,-0.02775042351740054
shared_after_planner,10000,bn,0.476,250,0.499,1.0,713.86,1070.224,0.14154025470360548,0.139603270962465,-10.45203875541687,-10.835461809158325,-0.06649094319262121
shared_after_critic,1,bn,0.476,250,0.0,0.0,713.608,7436.168,0.14154214212860228,0.10936097671910071,-10.405167901992797,-19.8086654586792,nan
shared_after_critic,5,bn,0.476,250,0.0,0.0,713.608,7436.168,0.14154214212860228,0.10936097671910071,-10.405167901992797,-19.8086654586792,nan
shared_after_critic,10,bn,0.476,250,0.0,0.0,713.608,7436.168,0.14154214212860228,0.10936097671910071,-10.405167901992797,-19.8086654586792,nan
