lang,idx,role,agent_name,correct,prediction,gold,shape,final_step_last_layer_gold_logprob,final_step_last_layer_gold_rank,best_gold_rank,best_gold_logprob,emergence_step,latent_reasoning_score,rank_threshold,emergence_layer_strategy,cosine_to_bn,cosine_to_de,cosine_to_en,cosine_to_es,cosine_to_fr,cosine_to_ja,cosine_to_ru,cosine_to_sw,cosine_to_te,cosine_to_th,cosine_to_zh
bn,0,planner,Planner,False,5,18,4x37x2560,-9.48420238494873,729.0,8.0,-9.48420238494873,3,0.25,1000,final_layer,1.0,0.7543351650238037,0.6844547390937805,0.7367488741874695,0.7480732798576355,0.8215044140815735,0.8838556408882141,0.7276646494865417,0.7544142007827759,0.9454923272132874,0.7601011991500854
bn,0,critic,Critic,False,5,18,4x37x2560,-14.031720161437988,2114.0,8.0,-10.435707092285156,,0.0,1000,final_layer,1.0,0.726811408996582,0.7273291945457458,0.7260666489601135,0.7241739630699158,0.8142402768135071,0.9184405207633972,0.6677632331848145,0.9533324241638184,0.9242005348205566,0.7149941921234131
bn,0,refiner,Refiner,False,5,18,4x37x2560,-29.750032424926758,33116.0,8.0,-8.789837837219238,,0.0,1000,final_layer,1.0,0.7425413131713867,0.732871413230896,0.7379620671272278,0.7377306818962097,0.7616320848464966,0.6957948803901672,0.7021222710609436,0.8783668279647827,0.8544535636901855,0.5283908843994141
bn,0,judger,Judger,False,5,18,1x37x2560,-0.9760205149650574,1.0,1.0,-0.9760205149650574,0,1.0,1000,final_layer,1.0,0.7997254133224487,0.7372910380363464,0.7892942428588867,0.7925095558166504,0.7659568190574646,0.81842440366745,0.7892616391181946,0.8427872657775879,0.8393914699554443,0.7549536824226379
de,0,planner,Planner,True,18,18,4x37x2560,-16.814252853393555,113.0,8.0,-11.09916877746582,2,0.5,1000,final_layer,0.7543351650238037,1.0,0.8273286819458008,0.8957018256187439,0.9240508079528809,0.801900327205658,0.7326018810272217,0.8719339966773987,0.7356287837028503,0.7508489489555359,0.792344868183136
de,0,critic,Critic,True,18,18,4x37x2560,-25.562501907348633,266.0,8.0,-10.016427993774414,3,0.25,1000,final_layer,0.726811408996582,1.0,0.8029230237007141,0.9051371216773987,0.9160123467445374,0.7710798978805542,0.7214887738227844,0.8238385915756226,0.7404824495315552,0.6961561441421509,0.7689568996429443
de,0,refiner,Refiner,True,18,18,4x37x2560,-21.059133529663086,7783.0,8.0,-9.523726463317871,2,0.5,1000,final_layer,0.7425413131713867,1.0,0.8602444529533386,0.9194610118865967,0.9307240843772888,0.8052622675895691,0.5976327657699585,0.526229202747345,0.7822924256324768,0.7342807650566101,0.5877116918563843
de,0,judger,Judger,True,18,18,1x37x2560,-4.866442680358887,5.0,5.0,-4.866442680358887,0,1.0,1000,final_layer,0.7997254133224487,1.0,0.8496434688568115,0.905144453048706,0.9017350673675537,0.7875098586082458,0.910830020904541,0.806218683719635,0.8020857572555542,0.8113068342208862,0.819237470626831
en,0,planner,Planner,True,18,18,4x37x2560,-22.439428329467773,108.0,8.0,-6.921477317810059,2,0.5,1000,final_layer,0.6844547390937805,0.8273286819458008,1.0,0.8366714715957642,0.8301052451133728,0.7505388259887695,0.7041976451873779,0.765221118927002,0.7158847451210022,0.7200962901115417,0.7609164118766785
en,0,critic,Critic,True,18,18,4x37x2560,-33.125,2319.0,8.0,-9.617409706115723,2,0.5,1000,final_layer,0.7273291945457458,0.8029230237007141,1.0,0.824571430683136,0.8062605857849121,0.7674165964126587,0.7375990748405457,0.725128173828125,0.7285968065261841,0.7277410626411438,0.792971670627594
