lang,accuracy,correct,total,latent_reasoning_score,planner_latent_reasoning_score,critic_latent_reasoning_score,refiner_latent_reasoning_score,judger_latent_reasoning_score,cosine_to_bn,cosine_to_de,cosine_to_en,cosine_to_es,cosine_to_fr,cosine_to_ja,cosine_to_ru,cosine_to_sw,cosine_to_te,cosine_to_th,cosine_to_zh
bn,0.0,0,1,0.3125,0.25,0.0,0.0,1.0,1.0,0.7558533251285553,0.7204865962266922,0.7475179582834244,0.7506218701601028,0.7908333986997604,0.8291288614273071,0.7217029482126236,0.8572251796722412,0.8908844739198685,0.6896099895238876
de,1.0,1,1,0.5625,0.5,0.25,0.5,1.0,0.7558533251285553,1.0,0.8350349068641663,0.9063611030578613,0.9181305766105652,0.7914380878210068,0.7406383603811264,0.7570551186800003,0.7651223540306091,0.7481481730937958,0.7420627325773239
en,1.0,1,1,0.5,0.5,0.5,0.0,1.0,0.7204865962266922,0.8350349068641663,1.0,0.8542214632034302,0.8363856077194214,0.7696927487850189,0.7342070639133453,0.6841600984334946,0.7365121692419052,0.7310258001089096,0.7390042841434479
es,1.0,1,1,0.625,0.5,0.5,0.5,1.0,0.7475179582834244,0.9063611030578613,0.8542214632034302,1.0,0.9291241466999054,0.783976137638092,0.7453528344631195,0.7545136660337448,0.760919064283371,0.7488208115100861,0.7479861974716187
fr,1.0,1,1,0.625,0.5,0.5,0.5,1.0,0.7506218701601028,0.9181305766105652,0.8363856077194214,0.9291241466999054,1.0,0.7911199033260345,0.73326276242733,0.7592723369598389,0.7608704417943954,0.7471051812171936,0.740796372294426
ja,1.0,1,1,0.5,0.5,0.5,0.0,1.0,0.7908333986997604,0.7914380878210068,0.7696927487850189,0.783976137638092,0.7911199033260345,1.0,0.7203223556280136,0.6753014028072357,0.7693421542644501,0.7711983621120453,0.7282946407794952
ru,1.0,1,1,0.4375,0.25,0.25,0.25,1.0,0.8291288614273071,0.7406383603811264,0.7342070639133453,0.7453528344631195,0.73326276242733,0.7203223556280136,1.0,0.7123082876205444,0.7739583551883698,0.8240529745817184,0.719575971364975
sw,0.0,0,1,0.5625,0.5,0.5,0.25,1.0,0.7217029482126236,0.7570551186800003,0.6841600984334946,0.7545136660337448,0.7592723369598389,0.6753014028072357,0.7123082876205444,1.0,0.7077853828668594,0.7129741162061691,0.6795724332332611
te,0.0,0,1,0.375,0.5,0.0,0.0,1.0,0.8572251796722412,0.7651223540306091,0.7365121692419052,0.760919064283371,0.7608704417943954,0.7693421542644501,0.7739583551883698,0.7077853828668594,1.0,0.7851143479347229,0.6772862076759338
th,1.0,1,1,0.375,0.25,0.25,0.0,1.0,0.8908844739198685,0.7481481730937958,0.7310258001089096,0.7488208115100861,0.7471051812171936,0.7711983621120453,0.8240529745817184,0.7129741162061691,0.7851143479347229,1.0,0.6910784840583801
zh,1.0,1,1,0.75,0.5,0.75,0.75,1.0,0.6896099895238876,0.7420627325773239,0.7390042841434479,0.7479861974716187,0.740796372294426,0.7282946407794952,0.719575971364975,0.6795724332332611,0.6772862076759338,0.6910784840583801,1.0
