lang,idx,role,agent_name,correct,prediction,gold,shape,final_step_last_layer_gold_logprob,final_step_last_layer_gold_rank,best_gold_rank,best_gold_logprob,emergence_step,latent_reasoning_score,rank_threshold,emergence_layer_strategy
bn,10,planner,Planner,False,468,366,4x37x2560,-8.971540451049805,456.0,19.0,-8.971540451049805,3,0.25,1000,final_layer
bn,10,critic,Critic,False,468,366,4x37x2560,-15.038962364196777,1885.0,19.0,-8.40207576751709,,0.0,1000,final_layer
bn,10,refiner,Refiner,False,468,366,4x37x2560,-27.127979278564453,86746.0,19.0,-9.865740776062012,,0.0,1000,final_layer
bn,10,judger,Judger,False,468,366,1x37x2560,-9.920431137084961,92.0,19.0,-9.920431137084961,0,1.0,1000,final_layer
bn,0,planner,Planner,False,5,18,4x37x2560,-9.48420238494873,729.0,8.0,-9.48420238494873,3,0.25,1000,final_layer
bn,0,critic,Critic,False,5,18,4x37x2560,-14.031720161437988,2114.0,8.0,-10.435707092285156,,0.0,1000,final_layer
bn,0,refiner,Refiner,False,5,18,4x37x2560,-29.750032424926758,33116.0,8.0,-8.789837837219238,,0.0,1000,final_layer
bn,0,judger,Judger,False,5,18,1x37x2560,-0.9760205149650574,1.0,1.0,-0.9760205149650574,0,1.0,1000,final_layer
bn,11,planner,Planner,False,6,694,4x37x2560,-9.32955265045166,437.0,42.0,-9.32955265045166,3,0.25,1000,final_layer
bn,11,critic,Critic,False,6,694,4x37x2560,-19.90019416809082,4572.0,42.0,-10.586441993713379,,0.0,1000,final_layer
bn,11,refiner,Refiner,False,6,694,4x37x2560,-30.75,43846.0,42.0,-7.23261833190918,,0.0,1000,final_layer
bn,11,judger,Judger,False,6,694,1x37x2560,-11.185821533203125,176.0,42.0,-10.549808502197266,0,1.0,1000,final_layer
bn,1,planner,Planner,True,3,3,4x37x2560,-12.560771942138672,1066.0,19.0,-10.574861526489258,,0.0,1000,final_layer
bn,1,critic,Critic,True,3,3,4x37x2560,-15.312297821044922,4589.0,19.0,-9.80313491821289,,0.0,1000,final_layer
bn,1,refiner,Refiner,True,3,3,4x37x2560,-31.261720657348633,92530.0,19.0,-8.814393997192383,,0.0,1000,final_layer
bn,1,judger,Judger,True,3,3,1x37x2560,-10.487485885620117,103.0,19.0,-10.170734405517578,0,1.0,1000,final_layer
bn,12,planner,Planner,False,7.5,13,4x37x2560,-9.08970832824707,341.0,8.0,-9.08970832824707,2,0.5,1000,final_layer
bn,12,critic,Critic,False,7.5,13,4x37x2560,-12.651435852050781,2023.0,8.0,-10.71464729309082,,0.0,1000,final_layer
bn,12,refiner,Refiner,False,7.5,13,4x37x2560,-26.332876205444336,22754.0,8.0,-11.443979263305664,,0.0,1000,final_layer
bn,12,judger,Judger,False,7.5,13,1x37x2560,-1.6883649826049805,2.0,2.0,-1.6883649826049805,0,1.0,1000,final_layer
bn,2,planner,Planner,True,70000,70000,4x37x2560,-11.935482025146484,138.0,49.0,-8.324576377868652,2,0.5,1000,final_layer
bn,2,critic,Critic,True,70000,70000,4x37x2560,-16.276790618896484,1417.0,49.0,-9.435820579528809,,0.0,1000,final_layer
bn,2,refiner,Refiner,True,70000,70000,4x37x2560,-25.75025749206543,9495.0,49.0,-9.551421165466309,,0.0,1000,final_layer
bn,2,judger,Judger,True,70000,70000,1x37x2560,-11.88994312286377,181.0,49.0,-9.3038330078125,0,1.0,1000,final_layer
bn,13,planner,Planner,False,3,18,4x37x2560,-8.535665512084961,352.0,8.0,-8.535665512084961,3,0.25,1000,final_layer
bn,13,critic,Critic,False,3,18,4x37x2560,-16.94129753112793,3232.0,8.0,-10.10103988647461,,0.0,1000,final_layer
bn,13,refiner,Refiner,False,3,18,4x37x2560,-26.254968643188477,106565.0,8.0,-10.424812316894531,,0.0,1000,final_layer
bn,13,judger,Judger,False,3,18,1x37x2560,-1.4153727293014526,2.0,2.0,-1.4153727293014526,0,1.0,1000,final_layer
bn,3,planner,Planner,False,180,540,4x37x2560,-9.506749153137207,79.0,38.0,-8.105568885803223,2,0.5,1000,final_layer
bn,3,critic,Critic,False,180,540,4x37x2560,-12.778708457946777,312.0,38.0,-8.450209617614746,3,0.25,1000,final_layer
bn,3,refiner,Refiner,False,180,540,4x37x2560,-28.5313663482666,83068.0,38.0,-9.829987525939941,,0.0,1000,final_layer
bn,3,judger,Judger,False,180,540,1x37x2560,-11.150985717773438,119.0,38.0,-10.512970924377441,0,1.0,1000,final_layer
bn,14,planner,Planner,False,11,60,4x37x2560,-12.8746919631958,458.0,42.0,-10.12253475189209,3,0.25,1000,final_layer
bn,14,critic,Critic,False,11,60,4x37x2560,-21.75270652770996,4365.0,42.0,-10.784053802490234,,0.0,1000,final_layer
bn,14,refiner,Refiner,False,11,60,4x37x2560,-29.329557418823242,115370.0,42.0,-10.7909517288208,,0.0,1000,final_layer
bn,14,judger,Judger,False,11,60,1x37x2560,-11.641874313354492,212.0,42.0,-10.759790420532227,0,1.0,1000,final_layer
bn,4,planner,Planner,False,60,20,4x37x2560,-12.50008773803711,3235.0,12.0,-10.983495712280273,,0.0,1000,final_layer
bn,4,critic,Critic,False,60,20,4x37x2560,-24.189943313598633,4448.0,12.0,-9.703765869140625,,0.0,1000,final_layer
bn,4,refiner,Refiner,False,60,20,4x37x2560,-26.2698974609375,68329.0,12.0,-8.445666313171387,,0.0,1000,final_layer
bn,4,judger,Judger,False,60,20,1x37x2560,-10.837321281433105,132.0,12.0,-10.569515228271484,0,1.0,1000,final_layer
bn,15,planner,Planner,True,125,125,4x37x2560,-8.348882675170898,286.0,8.0,-8.348882675170898,3,0.25,1000,final_layer
bn,15,critic,Critic,True,125,125,4x37x2560,-23.817642211914062,4965.0,8.0,-10.403792381286621,,0.0,1000,final_layer
bn,15,refiner,Refiner,True,125,125,4x37x2560,-26.45355987548828,59879.0,8.0,-10.960195541381836,,0.0,1000,final_layer
bn,15,judger,Judger,True,125,125,1x37x2560,-1.1879949569702148,1.0,1.0,-1.1879949569702148,0,1.0,1000,final_layer
bn,5,planner,Planner,True,64,64,4x37x2560,-9.287328720092773,551.0,42.0,-9.287328720092773,3,0.25,1000,final_layer
bn,5,critic,Critic,True,64,64,4x37x2560,-17.195207595825195,2855.0,42.0,-10.67098331451416,,0.0,1000,final_layer
bn,5,refiner,Refiner,True,64,64,4x37x2560,-27.728248596191406,99116.0,42.0,-10.566829681396484,,0.0,1000,final_layer
bn,5,judger,Judger,True,64,64,1x37x2560,-11.68660831451416,167.0,42.0,-10.709692001342773,0,1.0,1000,final_layer
bn,16,planner,Planner,True,230,230,4x37x2560,-8.88730239868164,514.0,12.0,-8.88730239868164,3,0.25,1000,final_layer
bn,16,critic,Critic,True,230,230,4x37x2560,-17.533964157104492,2539.0,12.0,-10.289052963256836,,0.0,1000,final_layer
bn,16,refiner,Refiner,True,230,230,4x37x2560,-28.734378814697266,52769.0,12.0,-8.789859771728516,,0.0,1000,final_layer
bn,16,judger,Judger,True,230,230,1x37x2560,-9.651058197021484,84.0,12.0,-9.651058197021484,0,1.0,1000,final_layer
bn,6,planner,Planner,False,3,260,4x37x2560,-9.137703895568848,539.0,12.0,-9.137703895568848,3,0.25,1000,final_layer
bn,6,critic,Critic,False,3,260,4x37x2560,-18.18937873840332,2189.0,12.0,-10.386270523071289,,0.0,1000,final_layer
bn,6,refiner,Refiner,False,3,260,4x37x2560,-26.60953712463379,63885.0,12.0,-9.628841400146484,,0.0,1000,final_layer
bn,6,judger,Judger,False,3,260,1x37x2560,-10.270889282226562,82.0,12.0,-10.270889282226562,0,1.0,1000,final_layer
bn,17,planner,Planner,False,3,57500,4x37x2560,-7.402200698852539,141.0,38.0,-7.402200698852539,2,0.5,1000,final_layer
bn,17,critic,Critic,False,3,57500,4x37x2560,-17.571762084960938,941.0,38.0,-8.346460342407227,3,0.25,1000,final_layer
bn,17,refiner,Refiner,False,3,57500,4x37x2560,-25.92489242553711,85092.0,38.0,-10.657221794128418,,0.0,1000,final_layer
bn,17,judger,Judger,False,3,57500,1x37x2560,-11.863460540771484,168.0,38.0,-10.638562202453613,0,1.0,1000,final_layer
bn,7,planner,Planner,False,40,160,4x37x2560,-14.638742446899414,175.0,8.0,-9.096299171447754,2,0.5,1000,final_layer
bn,7,critic,Critic,False,40,160,4x37x2560,-22.645151138305664,48824.0,8.0,-8.598464012145996,,0.0,1000,final_layer
bn,7,refiner,Refiner,False,40,160,4x37x2560,-24.022005081176758,121279.0,8.0,-11.354650497436523,,0.0,1000,final_layer
bn,7,judger,Judger,False,40,160,1x37x2560,-0.8190016746520996,1.0,1.0,-0.8190016746520996,0,1.0,1000,final_layer
bn,18,planner,Planner,True,7,7,4x37x2560,-8.30353832244873,69.0,49.0,-8.30353832244873,2,0.5,1000,final_layer
bn,18,critic,Critic,True,7,7,4x37x2560,-13.336003303527832,822.0,49.0,-8.896278381347656,3,0.25,1000,final_layer
bn,18,refiner,Refiner,True,7,7,4x37x2560,-26.91130256652832,91263.0,49.0,-9.954544067382812,,0.0,1000,final_layer
bn,18,judger,Judger,True,7,7,1x37x2560,-11.589211463928223,212.0,49.0,-9.363157272338867,0,1.0,1000,final_layer
bn,8,planner,Planner,False,30,45,4x37x2560,-24.69976043701172,13547.0,30.0,-10.115087509155273,2,0.5,1000,final_layer
bn,8,critic,Critic,False,30,45,4x37x2560,-22.38218116760254,2644.0,30.0,-9.896839141845703,,0.0,1000,final_layer
bn,8,refiner,Refiner,False,30,45,4x37x2560,-28.2689151763916,92678.0,30.0,-9.914873123168945,,0.0,1000,final_layer
bn,8,judger,Judger,False,30,45,1x37x2560,-11.895329475402832,225.0,30.0,-8.221278190612793,0,1.0,1000,final_layer
bn,19,planner,Planner,False,1.5,6,4x37x2560,-9.046350479125977,516.0,42.0,-9.046350479125977,3,0.25,1000,final_layer
bn,19,critic,Critic,False,1.5,6,4x37x2560,-14.9044189453125,4359.0,42.0,-9.519775390625,,0.0,1000,final_layer
bn,19,refiner,Refiner,False,1.5,6,4x37x2560,-28.324588775634766,105276.0,42.0,-10.450811386108398,,0.0,1000,final_layer
bn,19,judger,Judger,False,1.5,6,1x37x2560,-11.943530082702637,298.0,42.0,-10.730798721313477,0,1.0,1000,final_layer
bn,9,planner,Planner,False,3,460,4x37x2560,-10.293901443481445,568.0,30.0,-8.533456802368164,2,0.5,1000,final_layer
bn,9,critic,Critic,False,3,460,4x37x2560,-17.19998550415039,3347.0,30.0,-9.938653945922852,,0.0,1000,final_layer
bn,9,refiner,Refiner,False,3,460,4x37x2560,-31.573698043823242,121150.0,30.0,-9.898200035095215,,0.0,1000,final_layer
bn,9,judger,Judger,False,3,460,1x37x2560,-10.749558448791504,136.0,30.0,-8.34248161315918,0,1.0,1000,final_layer
bn,20,planner,Planner,False,5,15,4x37x2560,-14.105676651000977,545.0,8.0,-9.51755142211914,3,0.25,1000,final_layer
bn,20,critic,Critic,False,5,15,4x37x2560,-21.363391876220703,7225.0,8.0,-11.04640007019043,,0.0,1000,final_layer
bn,20,refiner,Refiner,False,5,15,4x37x2560,-25.17906379699707,76626.0,8.0,-11.695405006408691,,0.0,1000,final_layer
bn,20,judger,Judger,False,5,15,1x37x2560,-1.125011682510376,2.0,2.0,-1.125011682510376,0,1.0,1000,final_layer
