lang,accuracy,correct,total,latent_reasoning_score,planner_latent_reasoning_score,critic_latent_reasoning_score,refiner_latent_reasoning_score,judger_latent_reasoning_score,cosine_to_bn,cosine_to_de,cosine_to_en,cosine_to_es,cosine_to_fr,cosine_to_ja,cosine_to_ru,cosine_to_sw,cosine_to_te,cosine_to_th,cosine_to_zh
bn,0.5,25,50,0.32875,0.285,0.03,0.0,1.0,1.0,0.7569166612625122,0.7195792698860168,0.7535948717594146,0.7551543673872948,0.7698729851841927,0.8116258278489112,0.7357578566670417,0.827724195420742,0.8512289236485958,0.7239992773532867
de,0.84,42,50,0.45875,0.49,0.315,0.27,0.76,0.7569166612625122,1.0,0.828960981965065,0.8526201006770134,0.8660445201396942,0.7727975910902023,0.755170910358429,0.7782782727479934,0.7818796017765999,0.7345001305639743,0.7663230526447297
en,0.96,48,50,0.38625000000000004,0.5,0.495,0.27,0.28,0.7195792698860168,0.828960981965065,1.0,0.8174925687909126,0.8190832558274269,0.7447338125109673,0.7403011640906334,0.7371584525704384,0.7427877733111381,0.7239700485765934,0.7685470958054066
es,0.9,45,50,0.47375,0.455,0.2,0.26,0.98,0.7535948717594146,0.8526201006770134,0.8174925687909126,1.0,0.8854981485009193,0.7771413591504097,0.7599113985896111,0.790542985200882,0.7819718497991562,0.7395977747440338,0.7829800187051297
fr,0.42,21,50,0.5,0.475,0.305,0.4,0.82,0.7551543673872948,0.8660445201396942,0.8190832558274269,0.8854981485009193,1.0,0.7877568590641022,0.7530872720479965,0.7932140712440013,0.7942381045222282,0.7370217417180538,0.7724984358251095
ja,0.72,36,50,0.54,0.5,0.46,0.3,0.9,0.7698729851841927,0.7727975910902023,0.7447338125109673,0.7771413591504097,0.7877568590641022,1.0,0.7058491608500481,0.7219355344772339,0.7724427279829978,0.7598947973549366,0.7635184274613858
ru,0.78,39,50,0.29874999999999996,0.485,0.195,0.035,0.48,0.8116258278489112,0.755170910358429,0.7403011640906334,0.7599113985896111,0.7530872720479965,0.7058491608500481,1.0,0.7141856807470321,0.7492954778671265,0.8030396497249603,0.7318941295146942
sw,0.2,10,50,0.51125,0.455,0.355,0.295,0.94,0.7357578566670417,0.7782782727479934,0.7371584525704384,0.790542985200882,0.7932140712440013,0.7219355344772339,0.7141856807470321,1.0,0.7656852290034294,0.7170219773054123,0.7088927073776722
te,0.1,5,50,0.38375,0.43,0.045,0.06,1.0,0.827724195420742,0.7818796017765999,0.7427877733111381,0.7819718497991562,0.7942381045222282,0.7724427279829978,0.7492954778671265,0.7656852290034294,1.0,0.753298899680376,0.7316577555239201
th,0.72,36,50,0.36875,0.255,0.22,0.14,0.86,0.8512289236485958,0.7345001305639743,0.7239700485765934,0.7395977747440338,0.7370217417180538,0.7598947973549366,0.8030396497249603,0.7170219773054123,0.753298899680376,1.0,0.720175859183073
zh,0.78,39,50,0.46624999999999994,0.485,0.28,0.24,0.86,0.7239992773532867,0.7663230526447297,0.7685470958054066,0.7829800187051297,0.7724984358251095,0.7635184274613858,0.7318941295146942,0.7088927073776722,0.7316577555239201,0.720175859183073,1.0
