lang,idx,role,agent_name,correct,prediction,gold,shape,final_step_last_layer_gold_logprob,final_step_last_layer_gold_rank,best_gold_rank,best_gold_logprob,emergence_step,latent_reasoning_score,rank_threshold,emergence_layer_strategy,cosine_to_bn,cosine_to_de,cosine_to_en,cosine_to_es,cosine_to_fr,cosine_to_ja,cosine_to_ru,cosine_to_sw,cosine_to_te,cosine_to_th,cosine_to_zh
bn,0,planner,Planner,False,5,18,4x37x2560,-8.482895851135254,327.0,8.0,-8.482895851135254,3,0.25,1000,final_layer,1.0,0.749575138092041,0.686556339263916,0.7334790825843811,0.7401736378669739,0.7970934510231018,0.8880943059921265,0.7247786521911621,0.7496928572654724,0.9463605880737305,0.750309407711029
bn,0,critic,Critic,False,5,18,4x37x2560,-13.865321159362793,1851.0,8.0,-10.127296447753906,,0.0,1000,final_layer,1.0,0.7276581525802612,0.712736189365387,0.7239375114440918,0.7203922867774963,0.8625763654708862,0.922358512878418,0.6821931600570679,0.9571175575256348,0.9264140725135803,0.7234084606170654
bn,0,refiner,Refiner,False,5,18,4x37x2560,-29.343828201293945,26189.0,8.0,-9.437211990356445,,0.0,1000,final_layer,1.0,0.8570117354393005,0.7210223078727722,0.7311418056488037,0.7304262518882751,0.7880451679229736,0.6905225515365601,0.6652483344078064,0.866118848323822,0.8625712990760803,0.7390387058258057
bn,0,judger,Judger,False,5,18,1x37x2560,-0.8968296051025391,1.0,1.0,-0.8968296051025391,0,1.0,1000,final_layer,1.0,0.7990015745162964,0.7364053130149841,0.7889810800552368,0.7938748598098755,0.7697088718414307,0.8186376690864563,0.7918249368667603,0.8440427780151367,0.839528501033783,0.7526551485061646
bn,1,planner,Planner,True,3,3,4x37x2560,-13.190936088562012,1071.0,19.0,-10.314657211303711,,0.0,1000,final_layer,1.0,0.7467149496078491,0.6941231489181519,0.7320671081542969,0.7371717691421509,0.7424812912940979,0.6924852728843689,0.7263490557670593,0.7681805491447449,0.9352503418922424,0.6853591203689575
bn,1,critic,Critic,True,3,3,4x37x2560,-15.43532657623291,4789.0,19.0,-9.7112455368042,,0.0,1000,final_layer,1.0,0.7405320405960083,0.7148208618164062,0.7269978523254395,0.7369338870048523,0.7129650712013245,0.7199962139129639,0.727674126625061,0.7497134208679199,0.9210413098335266,0.7275416254997253
bn,1,refiner,Refiner,True,3,3,4x37x2560,-30.73829460144043,65061.0,19.0,-10.130946159362793,,0.0,1000,final_layer,1.0,0.7444629669189453,0.700991690158844,0.6534475088119507,0.7476800680160522,0.8154876828193665,0.6733512878417969,0.7306292653083801,0.8491564989089966,0.8817098736763,0.736705482006073
bn,1,judger,Judger,True,3,3,1x37x2560,-10.428132057189941,97.0,19.0,-10.205559730529785,0,1.0,1000,final_layer,1.0,0.7968013882637024,0.741602897644043,0.7893983721733093,0.7922130227088928,0.7447470426559448,0.8161853551864624,0.7761995196342468,0.8410540223121643,0.8417750597000122,0.7586295008659363
bn,2,planner,Planner,False,195000,70000,4x37x2560,-9.225054740905762,92.0,49.0,-8.193671226501465,2,0.5,1000,final_layer,1.0,0.7469744086265564,0.7316285371780396,0.7251065373420715,0.7558844685554504,0.7767313122749329,0.6989307999610901,0.7364813089370728,0.7669957280158997,0.9374581575393677,0.692003071308136
bn,2,critic,Critic,False,195000,70000,4x37x2560,-17.773483276367188,3931.0,49.0,-9.607765197753906,,0.0,1000,final_layer,1.0,0.7562294006347656,0.7018260359764099,0.7143348455429077,0.7559636831283569,0.7389964461326599,0.6313802003860474,0.6958459615707397,0.7646154165267944,0.6891473531723022,0.752779483795166
bn,2,refiner,Refiner,False,195000,70000,4x37x2560,-20.941781997680664,3273.0,49.0,-9.207014083862305,,0.0,1000,final_layer,1.0,0.7311128377914429,0.7174689769744873,0.5961353182792664,0.7277193665504456,0.9011263251304626,0.7782642245292664,0.7064443230628967,0.7505810856819153,0.9217613935470581,0.6797859072685242
bn,2,judger,Judger,False,195000,70000,1x37x2560,-11.84663200378418,182.0,49.0,-9.311744689941406,0,1.0,1000,final_layer,1.0,0.8009465932846069,0.7319711446762085,0.7936708331108093,0.7922929525375366,0.7518747448921204,0.814271867275238,0.7956326603889465,0.8420912623405457,0.8394650816917419,0.7580457925796509
bn,3,planner,Planner,False,180,540,4x37x2560,-9.16104793548584,82.0,38.0,-8.327865600585938,2,0.5,1000,final_layer,1.0,0.7422993183135986,0.6922853589057922,0.7290664911270142,0.7343267202377319,0.8684682846069336,0.8525094389915466,0.7335814237594604,0.8226925730705261,0.9380367398262024,0.6758682727813721
bn,3,critic,Critic,False,180,540,4x37x2560,-12.301270484924316,346.0,38.0,-8.514737129211426,3,0.25,1000,final_layer,1.0,0.745388925075531,0.7021706700325012,0.7341032028198242,0.7367925047874451,0.7179443836212158,0.913374125957489,0.7043063044548035,0.7464300990104675,0.904192328453064,0.7316951155662537
bn,3,refiner,Refiner,False,180,540,4x37x2560,-28.5468807220459,32389.0,38.0,-8.973692893981934,,0.0,1000,final_layer,1.0,0.7633641362190247,0.7525486350059509,0.6052369475364685,0.7538182139396667,0.852918267250061,0.8529456853866577,0.7453418374061584,0.8931302428245544,0.8506463766098022,0.700215220451355
bn,3,judger,Judger,False,180,540,1x37x2560,-11.296174049377441,129.0,38.0,-10.583375930786133,0,1.0,1000,final_layer,1.0,0.7988199591636658,0.7375891208648682,0.7902860045433044,0.7879085540771484,0.7643572092056274,0.8146349787712097,0.8029059767723083,0.8475176095962524,0.8379994630813599,0.7555500268936157
bn,4,planner,Planner,False,3,20,4x37x2560,-11.957472801208496,3115.0,12.0,-10.864226341247559,2,0.5,1000,final_layer,1.0,0.7649087905883789,0.7289773225784302,0.7616062760353088,0.7440527081489563,0.7559347152709961,0.8610268831253052,0.721642792224884,0.7537609338760376,0.8790197372436523,0.7032625079154968
bn,4,critic,Critic,False,3,20,4x37x2560,-23.815893173217773,4554.0,12.0,-9.734149932861328,,0.0,1000,final_layer,1.0,0.7390737533569336,0.7258192300796509,0.7274503707885742,0.7313321232795715,0.7315316200256348,0.9054974913597107,0.7176092863082886,0.7523146867752075,0.867570698261261,0.7167988419532776
