lang,accuracy,correct,total,latent_reasoning_score,planner_latent_reasoning_score,critic_latent_reasoning_score,refiner_latent_reasoning_score,judger_latent_reasoning_score,cosine_to_bn,cosine_to_de,cosine_to_en,cosine_to_es,cosine_to_fr,cosine_to_ja,cosine_to_ru,cosine_to_sw,cosine_to_te,cosine_to_th,cosine_to_zh
bn,0.46,23,50,0.3325,0.3,0.03,0.0,1.0,1.0,0.7563306367397309,0.7210038021206856,0.7476669445633888,0.7519839665293694,0.7774113410711289,0.7955977112054825,0.7374131730198861,0.8211553010344506,0.8613842925429345,0.7250553572177887
de,0.9,45,50,0.46875,0.485,0.34,0.31,0.74,0.7563306367397309,1.0,0.816923594623804,0.8580566161870956,0.8739657360315323,0.7822652781009674,0.7430562734603882,0.7771533282101154,0.7910701957345009,0.7322914481163025,0.7742335957288742
en,0.92,46,50,0.39375,0.5,0.525,0.27,0.28,0.7210038021206856,0.816923594623804,1.0,0.8144037139415741,0.8125491923093796,0.7415206864476204,0.7285185143351555,0.7270037533342838,0.7450372177362442,0.7221991166472435,0.7661628611385822
es,0.92,46,50,0.49874999999999997,0.45,0.25,0.315,0.98,0.7476669445633888,0.8580566161870956,0.8144037139415741,1.0,0.8923568448424339,0.777874111533165,0.7451942926645279,0.7872919823229313,0.7837520810961723,0.7336738263070584,0.7865105372667313
fr,0.44,22,50,0.49,0.48,0.31,0.35,0.82,0.7519839665293694,0.8739657360315323,0.8125491923093796,0.8923568448424339,1.0,0.7877176788449287,0.7404493460059166,0.7911900861561298,0.7962153589725495,0.7320747701823711,0.7768230229616165
ja,0.7,35,50,0.535,0.5,0.43,0.31,0.9,0.7774113410711289,0.7822652781009674,0.7415206864476204,0.777874111533165,0.7877176788449287,1.0,0.6960642036795616,0.7213165633380413,0.7696162086725234,0.7502288769185543,0.7674866223335266
ru,0.8,40,50,0.33125,0.535,0.28,0.09,0.42,0.7955977112054825,0.7430562734603882,0.7285185143351555,0.7451942926645279,0.7404493460059166,0.6960642036795616,1.0,0.7063835564255715,0.734736648797989,0.7886131086945534,0.7221193605661392
sw,0.14,7,50,0.50625,0.45,0.36,0.275,0.94,0.7374131730198861,0.7771533282101154,0.7270037533342838,0.7872919823229313,0.7911900861561298,0.7213165633380413,0.7063835564255715,1.0,0.7643999694287777,0.7135702057182789,0.7054186405241489
te,0.18,9,50,0.3825,0.45,0.025,0.075,0.98,0.8211553010344506,0.7910701957345009,0.7450372177362442,0.7837520810961723,0.7962153589725495,0.7696162086725234,0.734736648797989,0.7643999694287777,1.0,0.7489296086132526,0.7356721176207066
th,0.68,34,50,0.395,0.28,0.27,0.17,0.86,0.8613842925429345,0.7322914481163025,0.7221991166472435,0.7336738263070584,0.7320747701823711,0.7502288769185543,0.7886131086945534,0.7135702057182789,0.7489296086132526,1.0,0.7188513417541981
zh,0.76,38,50,0.43875,0.505,0.25,0.16,0.84,0.7250553572177887,0.7742335957288742,0.7661628611385822,0.7865105372667313,0.7768230229616165,0.7674866223335266,0.7221193605661392,0.7054186405241489,0.7356721176207066,0.7188513417541981,1.0
