lang,cosine_to_bn,cosine_to_de,cosine_to_en,cosine_to_es,cosine_to_fr,cosine_to_ja,cosine_to_ru,cosine_to_sw,cosine_to_te,cosine_to_th,cosine_to_zh
bn,1.0,0.7459040719270706,0.7158805781602859,0.7405340561270713,0.743491740822792,0.7648814004659653,0.7493496808409691,0.728032396286726,0.7979986786842346,0.8524239179491997,0.7196404357254506
de,0.7459040719270706,1.0,0.7992553259432316,0.86996660977602,0.8920263773202897,0.7930379247665406,0.7123128402233124,0.794242091178894,0.7964880251884461,0.7008179652690888,0.7801466035842896
en,0.7158805781602859,0.7992553259432316,1.0,0.8287189039587974,0.8076989983022212,0.7475694285333156,0.7061814813315869,0.7255237130820751,0.74431200876832,0.7002484494447708,0.7611216333508491
es,0.7405340561270713,0.86996660977602,0.8287189039587974,1.0,0.9022003605961799,0.7850933563709259,0.7186025732755661,0.7856194271147251,0.7954901763796807,0.7108523522317409,0.7817762112617492
fr,0.743491740822792,0.8920263773202897,0.8076989983022212,0.9022003605961799,1.0,0.797463695704937,0.7110933983325958,0.8015196737647057,0.7962988549470902,0.7013887709379196,0.7784862549602986
ja,0.7648814004659653,0.7930379247665406,0.7475694285333156,0.7850933563709259,0.797463695704937,1.0,0.6637458208203316,0.7235307244956494,0.7734073458611965,0.7145534329116344,0.7711785642802715
ru,0.7493496808409691,0.7123128402233124,0.7061814813315869,0.7186025732755661,0.7110933983325958,0.6637458208203316,1.0,0.6909392288327217,0.7063855412602424,0.7560073417425156,0.6976549895107746
sw,0.728032396286726,0.794242091178894,0.7255237130820751,0.7856194271147251,0.8015196737647057,0.7235307244956494,0.6909392288327217,1.0,0.7690234468877315,0.6936623427271843,0.6989972099661828
te,0.7979986786842346,0.7964880251884461,0.74431200876832,0.7954901763796807,0.7962988549470902,0.7734073458611965,0.7063855412602424,0.7690234468877315,1.0,0.7131007966399193,0.7409071077406406
th,0.8524239179491997,0.7008179652690888,0.7002484494447708,0.7108523522317409,0.7013887709379196,0.7145534329116344,0.7560073417425156,0.6936623427271843,0.7131007966399193,1.0,0.6890297949314117
zh,0.7196404357254506,0.7801466035842896,0.7611216333508491,0.7817762112617492,0.7784862549602986,0.7711785642802715,0.6976549895107746,0.6989972099661828,0.7409071077406406,0.6890297949314117,1.0
